Athlete_Comp_ID,Score_Metric,Finish_Rank,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
LAVOIE Alexandre - CAN - Canada Cup 1 - 2018 - Qualification 2,82.85,1,Men,19.0,18.5,18.4,19.0,18.4,8.3,8.3,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,LAVOIE Alexandre - CAN
NADEAU Jean  Christophe - CAN - Canada Cup 1 - 2018 - Qualification 2,77.12,2,Men,17.8,18.3,16.8,17.4,17.9,8.2,8.1,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,NADEAU Jean  Christophe - CAN
BETY Marc Antoine - CAN - Canada Cup 1 - 2018 - Qualification 2,75.98,3,Men,16.2,16.9,17.8,17.6,18.1,7.4,7.8,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,BETY Marc Antoine - CAN
LESSARD Olivier - CAN - Canada Cup 1 - 2018 - Qualification 2,75.67,4,Men,17.5,17.6,18.4,17.5,18.2,8.0,7.6,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,LESSARD Olivier - CAN
MARTEL Devon - CAN - Canada Cup 1 - 2018 - Qualification 2,74.71,5,Men,16.8,18.0,17.1,17.6,17.8,7.9,7.4,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,MARTEL Devon - CAN
FRECHETTE Christian - CAN - Canada Cup 1 - 2018 - Qualification 2,74.35,6,Men,17.6,18.0,17.8,17.3,18.0,8.1,8.0,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,FRECHETTE Christian - CAN
MARTINEAU Nicolas - CAN - Canada Cup 1 - 2018 - Qualification 2,73.82,7,Men,17.2,16.9,16.9,16.9,17.0,7.1,7.0,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,MARTINEAU Nicolas - CAN
JOHNSTON Parker - CAN - Canada Cup 1 - 2018 - Qualification 2,73.55,8,Men,17.6,17.9,18.0,17.0,17.8,8.1,8.2,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,JOHNSTON Parker - CAN
CLOUTIER ASSELIN Felix - CAN - Canada Cup 1 - 2018 - Qualification 2,72.5,9,Men,16.5,16.2,16.6,16.8,17.2,8.0,7.7,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,CLOUTIER ASSELIN Felix - CAN
VIEL Julien - CAN - Canada Cup 1 - 2018 - Qualification 2,72.06,10,Men,17.2,16.2,16.8,16.6,17.0,7.8,7.9,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,VIEL Julien - CAN
DUFFY Eric - CAN - Canada Cup 1 - 2018 - Qualification 2,71.51,11,Men,17.2,18.0,17.0,16.0,17.0,7.3,8.2,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,DUFFY Eric - CAN
GAUTHIER Julien - CAN - Canada Cup 1 - 2018 - Qualification 2,71.42,12,Men,16.0,16.2,18.0,17.3,17.2,7.7,8.0,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,GAUTHIER Julien - CAN
CLOUTIER Gabriel - CAN - Canada Cup 1 - 2018 - Qualification 2,71.32,13,Men,17.5,17.5,18.6,18.5,17.5,7.9,7.8,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,CLOUTIER Gabriel - CAN
KAPRONCZAI Julian - CAN - Canada Cup 1 - 2018 - Qualification 2,69.9,14,Men,15.9,16.0,16.8,17.3,16.8,8.0,8.0,Qualification,2018,2018-Canada Cup 1,Qualification 2,0.0,KAPRONCZAI Julian - CAN
